1,15,1,1
2,26,1,2
3,29,1,1
4,32,1,1
5,39,74,1
6,2,74,29
7,32,74,7
8,7,74,4
9,10,74,1
10,30,74,2
11,36,74,2
12,22,74,1
13,3,74,18
14,4,74,1
15,1,74,3
16,6,74,1
17,34,74,2
18,14,74,1
19,27,74,1
20,12,74,1
21,11,74,2
22,3,87,10
23,1,87,1
24,6,87,4
25,2,87,5
26,2,89,36
27,1,89,1
28,3,89,9
29,7,89,2
30,10,89,1
31,27,89,1
32,29,89,2
33,6,89,2
34,3,94,7
35,19,94,2
36,14,94,1
37,6,94,4
38,13,94,1
39,11,89,1
40,2,94,4
41,8,94,2
42,10,94,1
43,11,94,1
44,2,101,9
45,3,101,5
46,7,101,1
47,8,74,2
48,30,101,7
49,15,101,3
50,31,101,1
51,5,101,1
52,8,101,1
53,6,101,5
54,5,74,1
55,21,101,1
56,26,101,1
57,23,101,1
58,32,101,2
59,1,101,2
60,11,101,1
61,12,101,1
